"","sampling_cluster_median_date","hen_prevalence_normalized","hen_prevalence_normalized_smooth","ct_threshold","prev_quantile"
"159",2019-03-10,0,0.00455248403198329,31,0.038
"160",2019-03-25,0.0979938271604938,0.00531833336932787,31,0.054
"161",2019-05-02,0.0922294843863471,0.0140275771612696,31,0.162
"162",2019-06-05,0,0.0419320398493321,31,0.524
"163",2019-07-01,0.13971397139714,0.0800354130788856,31,0.822
"164",2019-07-15,0.201587301587302,0.0977755477519696,31,0.898
"165",2019-07-25,0,0.105150672866369,31,0.928
"166",2019-08-28,0,0.0966820135065042,31,0.978
"167",2019-09-24,0,0.071369331385165,31,0.968
"168",2019-10-28,0.0754604872251931,0.0449580806656739,31,0.882
"169",2019-11-27,0.0771098967820279,0.0344215052049539,31,0.822
"170",2019-12-18,0,0.0340351583439547,31,0.812
"171",2020-01-28,0.060823754789272,0.0463062761680612,31,0.88
"172",2020-02-25,0.183261183261183,0.0641085375460141,31,0.916
"173",2020-03-25,0.0775335775335775,0.0875413937379736,31,0.938
"174",2020-04-28,0.0783950617283951,0.106525124350188,31,0.896
"175",2020-05-26,0,0.0986923234023103,31,0.82
"176",2020-06-25,0,0.0693465521503681,31,0.598
"177",2020-07-20,0.217094017094017,0.0431489406869077,31,0.294
"178",2020-08-05,0,0.0297390809914198,31,0.186
"179",2020-08-25,0,0.0176688798414386,31,0.114
"180",2020-09-25,0,0.00735358986831847,31,0.088
"181",2017-07-17,0.75,0.91849553951437,32,0.864
"182",2017-08-08,1,0.746178960879537,32,0.838
"183",2017-09-06,0.340909090909091,0.351260508405888,32,0.544
"184",2017-10-08,0,0.0948114619265781,32,0.342
"185",2017-10-31,0,0.0386592269013377,32,0.288
"186",2017-11-23,0,0.0193936316467235,32,0.27
"187",2017-12-18,0.166666666666667,0.0126938738469751,32,0.256
"188",2018-01-22,0,0.0124521717654206,32,0.234
"189",2018-02-14,0,0.0164741376469973,32,0.226
"190",2018-03-07,0,0.0247270487348276,32,0.236
"191",2018-04-27,0,0.0918236301511732,32,0.502
"192",2018-05-19,0,0.1632500414671,32,0.68
"193",2018-06-06,0.38135593220339,0.24693555920726,32,0.802
"194",2018-06-29,0.405405405405405,0.372395666681658,32,0.888
"195",2018-07-26,0.708661417322835,0.500132260005815,32,0.932
"196",2018-08-30,0.406976744186047,0.562650743587711,32,0.928
"197",2018-09-28,0.718085106382979,0.490423629290874,32,0.878
"198",2018-10-10,0.3125,0.420744340621558,32,0.816
"199",2018-10-27,0.220588235294118,0.294736129734307,32,0.676
"200",2018-11-28,0,0.0972174348302477,32,0.26
"201",2019-01-03,0.0474683544303797,0.0206094966137464,32,0.034
"202",2019-01-25,0,0.00899570925381045,32,0.02
"203",2019-02-26,0,0.00438886611866924,32,0.012
"204",2019-03-10,0,0.00413583007846083,32,0.01
"205",2019-03-25,0.0520833333333333,0.00447390925714642,32,0.012
"206",2019-05-02,0.0490196078431373,0.00921720869728196,32,0.044
"207",2019-06-05,0,0.0225740933534535,32,0.174
"208",2019-07-01,0.0742574257425743,0.0398050263218768,32,0.414
"209",2019-07-15,0.107142857142857,0.0482737454854643,32,0.54
"210",2019-07-25,0,0.0523449447269998,32,0.586
"211",2019-08-28,0,0.0521771090005996,32,0.712
"212",2019-09-24,0,0.0422769358401647,32,0.708
"213",2019-10-28,0.0401069518716578,0.0294119098951958,32,0.634
"214",2019-11-27,0.040983606557377,0.0226922071817792,32,0.542
"215",2019-12-18,0,0.0209955978364046,32,0.48
"216",2020-01-28,0.0323275862068966,0.0226887865334477,32,0.41
"217",2020-02-25,0.0974025974025974,0.0269748379290247,32,0.39
"218",2020-03-25,0.0412087912087912,0.0339811493322069,32,0.378
"219",2020-04-28,0.0416666666666667,0.0448196468383875,32,0.384
"220",2020-05-26,0,0.0539904906054401,32,0.426
"221",2020-06-25,0,0.0621497886116126,32,0.504
"222",2020-07-20,0.115384615384615,0.0674130329485967,32,0.572
"223",2020-08-05,0.0949367088607595,0.0701168395002017,32,0.604
"224",2020-08-25,0.0742574257425743,0.0729288507645929,32,0.624
"225",2020-09-25,0.0700934579439252,0.0765965751377816,32,0.654
"226",2017-07-17,1,0.888677270965143,33,0.83
"227",2017-08-08,0.666666666666667,0.700675043153833,33,0.774
"228",2017-09-06,0.227272727272727,0.332958150160592,33,0.452
"229",2017-10-08,0,0.0999653847524828,33,0.314
"230",2017-10-31,0,0.0441126757064889,33,0.274
"231",2017-11-23,0.178571428571429,0.0234190697570986,33,0.242
"232",2017-12-18,0.111111111111111,0.0157622823904585,33,0.232
"233",2018-01-22,0,0.0151646472287043,33,0.222
"234",2018-02-14,0,0.0192088118249841,33,0.224
"235",2018-03-07,0,0.0272490398620728,33,0.242
"236",2018-04-27,0,0.084929948605463,33,0.428
"237",2018-05-19,0.0675675675675676,0.140380493105877,33,0.56
"238",2018-06-06,0.338983050847458,0.202611413984981,33,0.674
"239",2018-06-29,0.27027027027027,0.294700840880866,33,0.756
"240",2018-07-26,0.47244094488189,0.389361456293975,33,0.82
"241",2018-08-30,0.348837209302326,0.427739869288838,33,0.796
"242",2018-09-28,0.531914893617021,0.351838465616734,33,0.672
"243",2018-10-10,0.208333333333333,0.291350052118384,33,0.582
"244",2018-10-27,0.147058823529412,0.194522774419031,33,0.354
"245",2018-11-28,0,0.0628590915184626,33,0.034
"246",2019-01-03,0.0316455696202532,0.0144148066818202,33,0.002
"247",2019-01-25,0,0.0066749133177684,33,0
"248",2019-02-26,0,0.00346459813370014,33,0
"249",2019-03-10,0,0.00329856765689316,33,0
"250",2019-03-25,0.0347222222222222,0.00357950956432972,33,0
"251",2019-05-02,0.0326797385620915,0.00720333773368635,33,0.004
"252",2019-06-05,0,0.0171006169544828,33,0.042
"253",2019-07-01,0.0495049504950495,0.0298345308851225,33,0.174
"254",2019-07-15,0.0714285714285714,0.0362927070267217,33,0.27
"255",2019-07-25,0,0.0395959001158469,33,0.334
"256",2019-08-28,0.0347222222222222,0.0410974695408604,33,0.532
"257",2019-09-24,0,0.0349775164737196,33,0.576
"258",2019-10-28,0.0267379679144385,0.0262487638167899,33,0.51
"259",2019-11-27,0.0273224043715847,0.0217240842511476,33,0.468
"260",2019-12-18,0,0.0210376225910156,33,0.444
"261",2020-01-28,0.0646551724137931,0.0244452002343602,33,0.418
"262",2020-02-25,0.0649350649350649,0.0300280977669569,33,0.38
"263",2020-03-25,0.0274725274725275,0.0384249860030591,33,0.362
"264",2020-04-28,0.0555555555555556,0.0502304056936687,33,0.376
"265",2020-05-26,0,0.0586124396985352,33,0.394
"266",2020-06-25,0.0431034482758621,0.0637429138481108,33,0.428
"267",2020-07-20,0.0769230769230769,0.0650372341738414,33,0.426
"268",2020-08-05,0.126582278481013,0.064725119190822,33,0.408
"269",2020-08-25,0.0495049504950495,0.0634568236546668,33,0.42
"270",2020-09-25,0.0467289719626168,0.0605177736798057,33,0.43
"271",2017-07-17,1,0.937427408066512,34,0.974
"272",2017-08-08,0.833333333333333,0.816872941730372,34,0.96
"273",2017-09-06,0.454545454545455,0.491301367794501,34,0.902
"274",2017-10-08,0,0.177331013549115,34,0.588
"275",2017-10-31,0,0.0813318446873731,34,0.434
"276",2017-11-23,0.178571428571429,0.0428683765368735,34,0.354
"277",2017-12-18,0.222222222222222,0.0276645000029817,34,0.296
"278",2018-01-22,0,0.0241414972012076,34,0.266
"279",2018-02-14,0,0.028355652131562,34,0.264
"280",2018-03-07,0,0.037524633702823,34,0.274
"281",2018-04-27,0,0.101811454140847,34,0.554
"282",2018-05-19,0.0675675675675676,0.162598866621604,34,0.754
"283",2018-06-06,0.338983050847458,0.231441251439976,34,0.848
"284",2018-06-29,0.337837837837838,0.33553310675426,34,0.912
"285",2018-07-26,0.551181102362205,0.448369356754901,34,0.942
"286",2018-08-30,0.542635658914729,0.515647468476932,34,0.946
"287",2018-09-28,0.691489361702128,0.46603859719196,34,0.912
"288",2018-10-10,0.208333333333333,0.411579029476283,34,0.898
"289",2018-10-27,0.220588235294118,0.30898060115122,34,0.824
"290",2018-11-28,0.0458715596330275,0.127730527113236,34,0.386
"291",2019-01-03,0.0949367088607595,0.0366115627092821,34,0.026
"292",2019-01-25,0,0.0187392611981388,34,0.01
"293",2019-02-26,0.0431034482758621,0.0107240646542973,34,0.006
"294",2019-03-10,0,0.0104195366415355,34,0.006
"295",2019-03-25,0.0347222222222222,0.0114509585532251,34,0.008
"296",2019-05-02,0.0326797385620915,0.0223807703048739,34,0.07
"297",2019-06-05,0.040650406504065,0.0481204504327205,34,0.454
"298",2019-07-01,0.148514851485149,0.0748210326008154,34,0.782
"299",2019-07-15,0.0714285714285714,0.0848502880362364,34,0.852
"300",2019-07-25,0,0.0879220571141129,34,0.87
"301",2019-08-28,0.138888888888889,0.0763582543648183,34,0.894
"302",2019-09-24,0,0.0564398958929566,34,0.852
"303",2019-10-28,0.0267379679144385,0.0360164292147197,34,0.732
"304",2019-11-27,0.0273224043715847,0.0268145141101391,34,0.55
"305",2019-12-18,0,0.0249008193133614,34,0.488
"306",2020-01-28,0.107758620689655,0.0286418255358586,34,0.432
"307",2020-02-25,0.0649350649350649,0.0364680970612829,34,0.42
"308",2020-03-25,0.0274725274725275,0.0496502878674015,34,0.498
"309",2020-04-28,0.0555555555555556,0.0710635808516151,34,0.62
"310",2020-05-26,0,0.0897813129786363,34,0.714
"311",2020-06-25,0.0862068965517241,0.106445719806717,34,0.804
"312",2020-07-20,0.153846153846154,0.11688696641554,34,0.844
"313",2020-08-05,0.189873417721519,0.122028330054506,34,0.872
"314",2020-08-25,0.198019801980198,0.127118441667845,34,0.892
"315",2020-09-25,0.0467289719626168,0.133338413488309,34,0.886
"316",2017-07-17,1,0.880479667715683,35,0.936
"317",2017-08-08,0.555555555555556,0.693746891676324,35,0.884
"318",2017-09-06,0.378787878787879,0.338968831336001,35,0.53
"319",2017-10-08,0,0.107862022571246,35,0.286
"320",2017-10-31,0,0.0493851290105151,35,0.214
"321",2017-11-23,0.119047619047619,0.0269258867597435,35,0.192
"322",2017-12-18,0.148148148148148,0.0184057231745243,35,0.176
"323",2018-01-22,0,0.0176838217047054,35,0.16
"324",2018-02-14,0,0.0220956154552531,35,0.156
"325",2018-03-07,0,0.0307182824994616,35,0.17
"326",2018-04-27,0,0.0890432191887177,35,0.426
"327",2018-05-19,0.045045045045045,0.141913921712507,35,0.634
"328",2018-06-06,0.338983050847458,0.199246800706869,35,0.754
"329",2018-06-29,0.27027027027027,0.283247356092508,35,0.904
"330",2018-07-26,0.47244094488189,0.373850924903908,35,0.944
"331",2018-08-30,0.41343669250646,0.430063681523511,35,0.94
"332",2018-09-28,0.531914893617021,0.394500134581014,35,0.912
"333",2018-10-10,0.277777777777778,0.354875011281269,35,0.898
"334",2018-10-27,0.17156862745098,0.280776465100574,35,0.838
"335",2018-11-28,0.091743119266055,0.142019286580881,35,0.528
"336",2019-01-03,0.0843881856540084,0.055183059312819,35,0.122
"337",2019-01-25,0.045662100456621,0.0330568871498795,35,0.052
"338",2019-02-26,0.0574712643678161,0.0213041444366664,35,0.028
"339",2019-03-10,0,0.020672201787716,35,0.03
"340",2019-03-25,0.0231481481481481,0.0219405796607034,35,0.052
"341",2019-05-02,0.0435729847494553,0.0349947081647607,35,0.192
"342",2019-06-05,0.0542005420054201,0.0593332127490018,35,0.558
"343",2019-07-01,0.132013201320132,0.0789289762728831,35,0.776
"344",2019-07-15,0.0952380952380952,0.084226250097074,35,0.834
"345",2019-07-25,0,0.0845015194876218,35,0.856
