"","site","site_code","date","sampling_cluster","sampling_cluster_median_date","sampling_group_month","sampling_group_year","accession_update","sample_id","ct_hev","Nml_hev","preservative","bff_present_update","nbff_over_sheet","nnonbff_over_sheet"
"87","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","46",0,NA,"VTM","bff_present",1,0
"88","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","47",0,NA,"VTM","bff_present",1,0
"89","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","48",0,NA,"VTM","bff_present",2,0
"90","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","49",0,NA,"VTM","bff_present",2,0
"91","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","51",0,NA,"VTM","bff_present",2,0
"92","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","52",0,NA,"VTM","bff_present",1,0
"93","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","54",0,NA,"VTM","bff_present",1,0
"94","Burleigh","BUR","2020-02-21",37,2020-02-25,"Feb","2020","ARBUR019","55",0,NA,"VTM","bff_present",2,0
"95","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","2",0,NA,"VTM","bff_present",2,0
"96","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","3",0,NA,"VTM","bff_present",1,0
"97","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","4",0,NA,"VTM","bff_present",1,0
"98","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","5",0,NA,"VTM","bff_present",1,0
"99","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","6",0,NA,"VTM","bff_present",2,0
"100","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","7",0,NA,"VTM","bff_present",1,0
"101","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","9",0,NA,"VTM","bff_present",3,0
"102","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","10",0,NA,"VTM","bff_present",2,0
"103","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","11",0,NA,"VTM","bff_present",1,0
"104","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","12",0,NA,"VTM","bff_present",1,0
"105","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","15",0,NA,"VTM","bff_present",3,0
"106","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","16",0,NA,"VTM","bff_present",2,0
"107","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","19",0,NA,"VTM","bff_present",3,0
"108","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","21",0,NA,"VTM","bff_present",1,0
"109","Burleigh","BUR","2020-03-26",38,2020-03-25,"Mar","2020","ARBUR020","22",0,NA,"VTM","bff_present",2,0
